downloads,python_version,distro_name,distro_version
34,3.7,Ubuntu Kylin,19.04
33,3.5,RedHatEnterpriseServer,6.4
33,2.7,Kali GNU/Linux,2018.2
32,2.7,Solus,4.0
32,3.7,Amazon Linux AMI,2016.09
32,3.6,Scientific Linux,7.2
32,2.7,debian,8.3
32,3.5,Fedora,20
31,2.7,Fedora,24
31,3.5,Mageia,6
31,2.7,DGX OS,16.04
31,3.7,NixOS,19.09pre-git
31,3.7,OS X,10.14.5
31,3.7,Arch Linux,v19.06.1
31,2.7,LinuxMint,18.2
30,3.4,Red Hat Enterprise Linux Server,7.6
30,2.7,Red Hat Enterprise Linux Server,7.1
30,3.7,Debian GNU/Linux,7
30,3.5,Alpine Linux,3.10.0
30,3.8,Ubuntu,19.04
30,3.7,Linux Mint LMDE,2
30,3.5,macOS,10.13.5
29,3.6,Gentoo,2019080301
29,3.6,Antergos Linux,rolling
29,2.7,RedHatEnterpriseServer,6.6
29,3.6,Deepin,15.7
29,3.4,Amazon Linux AMI,2016.09
29,3.5,Scientific Linux,7.6
29,2.7,Scientific Linux,7.5
29,3.6,RedHatEnterpriseWorkstation,6.10
29,3.5,macOS,10.13.2
29,3.6,openSUSE,13.2
29,3.7,RedHatEnterpriseServer,6.6
29,2.7,Deepin,15.9
29,3.6,SUSE LINUX,11
28,2.7,macOS,10.11.3
28,3.7,DGX OS,16.04
28,2.7,openSUSE Leap,42.2
28,3.6,Scientific,6.4
28,3.7,openSUSE Tumbleweed,20190718
28,3.7,Freedesktop.org,18.08
28,2.7,Fedora,23
28,3.6,OS X,10.14.5
27,3.7,Red Hat Enterprise Linux Workstation,7.2
27,2.7,Antergos Linux,
27,3.7,RedHatEnterpriseServer,6.9
27,3.4,Amazon Linux,2
27,2.7,Alpine Linux,3.7.1
27,3.7,SLES,15
27,3.5,Gentoo,2.6
27,3.7,openSUSE Tumbleweed,20190703
27,2.7,Debian GNU/Linux,testing/unstable
27,2.7,macOS,10.11.1
27,3.7,SLES,12.2
26,3.6,Kali GNU/Linux,2018.2
26,3.7,SLES,11.4
26,3.6,SLES,15.1
26,2.7,macOS,10.12.2
26,3.7,RedHatEnterpriseServer,6.5
26,3.5,SLES,12.3
26,3.7,Arch Linux,2018.12.17
26,3.5,elementary OS,5.0
26,2.7,RedHatEnterpriseWorkstation,6.10
26,3.5,BunsenLabs GNU/Linux,9.8
25,2.7,SUSE LINUX,11
25,3.5,macOS,10.12.4
25,3.7,CentOS,6.3
25,3.5,CentOS,6.3
25,3.7,Scientific,6.10
25,3.5,macOS,10.12.5
25,3.7,Manjaro Linux,
25,3.6,debian,jessie/sid
25,3.7,Springdale Linux,7.6
24,3.5,Astra Linux (Smolensk),1.6
24,2.7,OS X,10.11.6
24,3.7,GalliumOS,3.0
24,2.7,ScientificCERNSLC,6.10
24,3.6,Peppermint,9
24,3.5,CentOS,6.4
24,3.4,Linux Mint,19.1
24,3.6,Slackware,14.2
24,3.5,DGX OS,18.04
24,3.5,Zorin OS,12
24,2.7,openSUSE Leap,42.1
23,3.5,AIMS Desktop GNU/Linux,oldstable-updates
23,2.7,EulerOS,2.0
23,3.6,Deepin,15.8
23,3.5,Tencent tlinux,2.2
23,3.6,Scientific Linux,6.10
23,3.6,GridOS,26
